time,run
66,1
67,2
66,3
66,4
66,5
67,6
68,7
67,8
67,9
66,10
66,11
67,12
66,13
67,14
66,15
67,16
70,17
66,18
60,19
60,20
61,21
61,22
62,23
61,24
62,25
60,26
52,27
61,28
60,29
61,30
60,31
