meanPow,run
2.0954545454545457,1
2.0970149253731343,2
2.0916666666666663,3
2.0765151515151516,4
2.109090909090909,5
2.146268656716418,6
2.135294117647059,7
2.0977611940298506,8
2.1843283582089557,9
2.1424242424242426,10
2.1840909090909095,11
2.202238805970149,12
2.1136363636363638,13
2.088805970149254,14
2.0848484848484845,15
2.1731343283582087,16
2.132142857142857,17
2.125,18
2.1333333333333333,19
2.1425,20
2.111475409836066,21
2.127049180327869,22
2.145967741935484,23
2.14344262295082,24
2.137903225806452,25
2.146666666666667,26
2.1336538461538463,27
2.128688524590164,28
2.1475,29
2.1336065573770493,30
2.1425,31
