area,run
67.55,1
66.725,2
70.69999999999999,3
68.72499999999998,4
64.32499999999999,5
72.625,6
66.07499999999999,7
63.64999999999999,8
64.57499999999999,9
64.07499999999999,10
65.72499999999998,11
62.79999999999999,12
77.44999999999999,13
77.67500000000001,14
63.124999999999986,15
64.975,16
65.19999999999999,17
63.224999999999994,18
62.59999999999999,19
64.225,20
65.25,21
61.99999999999999,22
64.44999999999999,23
61.79999999999999,24
65.02499999999999,25
61.699999999999996,26
65.175,27
61.85,28
66.925,29
63.14999999999999,30
70.725,31
