area,run
68.84999999999998,1
68.64999999999999,2
70.89999999999998,3
68.39999999999998,4
68.29999999999998,5
68.6,6
68.64999999999998,7
68.39999999999999,8
67.94999999999999,9
68.39999999999999,10
66.24999999999999,11
65.99999999999999,12
65.14999999999999,13
68.24999999999999,14
65.3,15
67.69999999999999,16
67.64999999999999,17
65.89999999999999,18
67.55,19
67.39999999999999,20
59.24999999999998,21
61.449999999999996,22
63.349999999999994,23
63.14999999999999,24
63.3,25
60.34999999999998,26
62.949999999999996,27
62.79999999999999,28
61.3,29
58.3,30
58.8,31
