meanPow,run
2.194776119402986,1
2.152985074626866,2
2.236567164179105,3
2.161029411764706,4
2.1873134328358215,5
2.150000000000001,6
2.1843283582089557,7
2.1558823529411772,8
2.1617647058823533,9
2.141666666666667,10
2.1962686567164185,11
2.2000000000000006,12
2.1694029850746275,13
2.2121212121212124,14
2.188805970149254,15
2.1746268656716423,16
2.1198529411764713,17
2.1798507462686567,18
2.1902985074626873,19
2.179545454545455,20
2.173134328358209,21
2.1360294117647065,22
2.1514925373134335,23
2.1522058823529413,24
2.1477611940298513,25
2.1659090909090915,26
2.1810606060606066,27
2.1330882352941183,28
2.1492537313432836,29
2.1402985074626866,30
2.1544776119402993,31
