meanPow,run
2.2533333333333334,1
2.2666666666666666,2
2.2421875,3
2.232258064516129,4
2.2603448275862075,5
2.286363636363637,6
2.27,7
2.274137931034483,8
2.245,9
2.246551724137931,10
2.2516666666666665,11
2.2258620689655175,12
2.204166666666667,13
2.2277777777777774,14
2.248275862068965,15
2.2299999999999995,16
2.251666666666667,17
2.2637931034482754,18
2.2344827586206897,19
2.203333333333333,20
2.25,21
2.2879310344827584,22
2.24,23
2.248275862068965,24
2.275,25
2.25,26
2.243333333333333,27
2.2879310344827584,28
2.2483870967741937,29
2.2448275862068963,30
2.209090909090909,31
