meanPow,run
2.2583333333333333,1
2.206896551724138,2
2.246551724137931,3
2.215625,4
2.217241379310345,5
2.2275862068965515,6
2.2120689655172416,7
2.2137931034482756,8
2.2586206896551726,9
2.2551724137931037,10
2.225862068965517,11
2.2160714285714285,12
2.2548387096774194,13
2.2327586206896552,14
2.230357142857143,15
2.225862068965517,16
2.241071428571429,17
2.2338709677419355,18
2.2392857142857143,19
2.229310344827586,20
2.232142857142857,21
2.2196428571428575,22
2.221428571428571,23
2.226785714285714,24
2.230357142857143,25
2.206896551724138,26
2.25,27
2.231034482758621,28
2.2137931034482756,29
2.242857142857143,30
2.2464285714285714,31
