time,run
30,1
30,2
32,3
31,4
29,5
33,6
30,7
29,8
30,9
29,10
30,11
29,12
36,13
36,14
29,15
30,16
30,17
29,18
29,19
30,20
30,21
29,22
30,23
29,24
30,25
29,26
30,27
29,28
31,29
29,30
33,31
