meanPow,run
2.157462686567164,1
2.1104477611940298,2
2.1626865671641795,3
2.135820895522388,4
2.138970588235294,5
2.1919117647058823,6
2.1223880597014926,7
2.175373134328358,8
2.1149253731343287,9
2.156716417910448,10
2.138405797101449,11
2.137313432835821,12
2.1,13
2.1723880597014924,14
2.1507462686567167,15
2.1838235294117645,16
2.1097014925373134,17
2.187313432835821,18
2.11044776119403,19
2.158955223880597,20
2.1574626865671642,21
2.126865671641791,22
2.1507462686567163,23
2.1350746268656717,24
2.1835820895522393,25
2.161940298507463,26
2.1536764705882354,27
2.2291044776119406,28
2.153787878787879,29
2.156716417910448,30
2.202985074626866,31
