meanPow,run
2.2513888888888887,1
2.2089743589743596,2
2.190789473684211,3
2.2399999999999998,4
2.23030303030303,5
2.2071428571428577,6
2.214864864864865,7
2.2199999999999998,8
2.189393939393939,9
2.268181818181818,10
2.202941176470588,11
2.205882352941177,12
2.1999999999999997,13
2.3257575757575752,14
2.205882352941177,15
2.261764705882353,16
2.1897058823529414,17
2.2300000000000004,18
2.222058823529412,19
2.251515151515152,20
2.2399999999999998,21
2.216176470588235,22
2.2338235294117648,23
2.2044117647058825,24
2.1852941176470586,25
2.225,26
2.234848484848485,27
2.220833333333333,28
2.2351351351351347,29
2.1772727272727272,30
2.192857142857143,31
