area,run
147.05000000000004,1
144.25000000000003,2
149.85000000000002,3
146.95000000000002,4
146.55000000000004,5
144.05000000000004,6
146.35000000000002,7
146.60000000000005,8
147.00000000000003,9
141.35000000000002,10
147.15000000000003,11
147.40000000000003,12
145.35000000000005,13
146.00000000000003,14
146.65000000000003,15
145.70000000000005,16
144.15000000000003,17
146.05,18
146.75000000000006,19
143.85000000000005,20
145.60000000000002,21
145.25000000000006,22
144.15000000000003,23
146.35000000000002,24
143.90000000000003,25
142.95000000000005,26
143.95000000000005,27
145.05000000000004,28
144.0,29
143.4,30
144.35000000000005,31
