meanPow,run
2.306666666666666,1
2.298275862068965,2
2.312068965517241,3
2.2828125,4
2.289655172413793,5
2.2706896551724136,6
2.2862068965517235,7
2.2637931034482754,8
2.263793103448275,9
2.268965517241379,10
2.2672413793103443,11
2.276785714285714,12
2.243548387096774,13
2.2689655172413787,14
2.264285714285714,15
2.26551724137931,16
2.246428571428571,17
2.241935483870967,18
2.2392857142857143,19
2.2413793103448274,20
2.2339285714285713,21
2.244642857142857,22
2.2499999999999996,23
2.226785714285714,24
2.2482142857142855,25
2.212068965517241,26
2.2303571428571423,27
2.2293103448275864,28
2.217241379310345,29
2.2303571428571423,30
2.221428571428571,31
