area,run
69.19999999999999,1
66.64999999999998,2
67.04999999999998,3
73.05,4
66.39999999999999,5
65.85,6
66.29999999999998,7
65.64999999999999,8
65.64999999999998,9
65.8,10
65.74999999999999,11
63.74999999999999,12
69.54999999999998,13
65.79999999999998,14
63.399999999999984,15
65.69999999999999,16
62.89999999999999,17
69.49999999999999,18
62.7,19
65.0,20
62.55,21
62.849999999999994,22
62.999999999999986,23
62.349999999999994,24
62.949999999999996,25
64.14999999999999,26
62.44999999999998,27
64.65,28
64.3,29
62.44999999999998,30
62.19999999999999,31
