area,run
143.32500000000005,1
140.59999999999997,2
147.25000000000003,3
142.50000000000003,4
146.65000000000003,5
145.70000000000005,6
142.8,7
147.00000000000006,8
141.60000000000002,9
147.3,10
137.30000000000004,11
139.75,12
145.0,13
145.25000000000003,14
144.3,15
142.35000000000002,16
142.70000000000002,17
144.20000000000005,18
140.55,19
141.90000000000003,20
139.20000000000002,21
146.37500000000003,22
141.92500000000004,23
140.40000000000003,24
139.05,25
144.90000000000003,26
142.75000000000003,27
143.89999999999998,28
141.875,29
142.9,30
143.50000000000003,31
