meanPow,run
2.3249999999999997,1
2.2966666666666664,2
2.2781249999999997,3
2.2870967741935475,4
2.2931034482758617,5
2.265151515151515,6
2.2749999999999995,7
2.2672413793103443,8
2.2249999999999996,9
2.28103448275862,10
2.2633333333333328,11
2.2379310344827585,12
2.209722222222222,13
2.216666666666667,14
2.2517241379310344,15
2.238333333333333,16
2.2449999999999997,17
2.2551724137931033,18
2.2293103448275855,19
2.213333333333333,20
2.246666666666667,21
2.208620689655172,22
2.2199999999999998,23
2.2034482758620686,24
2.2399999999999998,25
2.198275862068965,26
2.243333333333333,27
2.206896551724138,28
2.2290322580645157,29
2.25,30
2.209090909090909,31
