meanPow,run
2.1902985074626873,1
2.2343283582089555,2
2.179850746268657,3
2.250000000000001,4
2.2441176470588244,5
2.169852941176471,6
2.220149253731344,7
2.1552238805970156,8
2.2410447761194034,9
2.174626865671642,10
2.2050724637681163,11
2.185074626865672,12
2.243181818181818,13
2.167164179104478,14
2.2261194029850753,15
2.150735294117648,16
2.2447761194029856,17
2.1507462686567167,18
2.2305970149253733,19
2.174626865671642,20
2.1768656716417913,21
2.2238805970149262,22
2.180597014925374,23
2.2119402985074634,24
2.1634328358208963,25
2.2313432835820906,26
2.2477941176470595,27
2.159701492537314,28
2.2136363636363643,29
2.250000000000001,30
2.168656716417911,31
