area,run
142.525,1
139.39999999999998,2
142.825,3
141.09999999999997,4
143.325,5
146.925,6
140.07500000000002,7
143.74999999999997,8
139.7,9
142.5,10
145.32499999999996,11
141.12499999999997,12
136.52499999999998,13
143.475,14
142.04999999999998,15
146.37500000000003,16
139.35,17
144.525,18
139.4,19
142.64999999999998,20
142.55,21
140.42499999999995,22
142.05,23
141.025,24
144.25000000000003,25
142.65000000000003,26
144.4,27
147.3,28
140.09999999999997,29
142.35000000000002,30
145.49999999999997,31
