time,run
30,1
30,2
31,3
30,4
30,5
30,6
30,7
30,8
30,9
30,10
29,11
29,12
29,13
30,14
29,15
30,16
30,17
29,18
30,19
30,20
27,21
27,22
28,23
28,24
28,25
27,26
28,27
28,28
27,29
26,30
26,31
