area,run
69.74999999999999,1
68.89999999999999,2
72.89999999999999,3
70.89999999999998,4
66.49999999999999,5
74.75,6
68.24999999999999,7
65.74999999999999,8
66.74999999999999,9
66.14999999999999,10
67.89999999999998,11
64.89999999999999,12
79.55,13
79.80000000000001,14
65.3,15
67.14999999999999,16
67.35,17
65.39999999999999,18
64.64999999999998,19
66.39999999999999,20
67.4,21
64.04999999999998,22
66.6,23
63.89999999999999,24
67.19999999999999,25
63.74999999999998,26
67.3,27
64.0,28
69.09999999999998,29
65.25,30
72.89999999999999,31
