time,run
30,1
29,2
29,3
32,4
29,5
29,6
29,7
29,8
29,9
29,10
29,11
28,12
31,13
29,14
28,15
29,16
28,17
31,18
28,19
29,20
28,21
28,22
28,23
28,24
28,25
29,26
28,27
29,28
29,29
28,30
28,31
