time,run
36,1
39,2
38,3
35,4
33,5
35,6
37,7
35,8
33,9
33,10
34,11
34,12
34,13
33,14
34,15
34,16
34,17
35,18
34,19
33,20
35,21
34,22
34,23
34,24
34,25
34,26
33,27
36,28
37,29
33,30
35,31
