meanPow,run
2.309722222222222,1
2.2923076923076917,2
2.2828947368421053,3
2.3085714285714283,4
2.2984848484848484,5
2.2957142857142854,6
2.3067567567567564,7
2.2957142857142854,8
2.3060606060606057,9
2.316666666666667,10
2.294117647058823,11
2.2867647058823524,12
2.2926470588235293,13
2.2939393939393935,14
2.3058823529411763,15
2.3014705882352935,16
2.2926470588235293,17
2.298571428571428,18
2.2985294117647053,19
2.312121212121212,20
2.2957142857142854,21
2.3,22
2.3058823529411763,23
2.301470588235294,24
2.3058823529411763,25
2.289705882352941,26
2.3,27
2.2763888888888886,28
2.281081081081081,29
2.298484848484848,30
2.2928571428571427,31
