meanPow,run
2.2949999999999995,1
2.288333333333333,2
2.2870967741935475,3
2.2799999999999994,4
2.276666666666666,5
2.2866666666666666,6
2.2883333333333327,7
2.28,8
2.2649999999999997,9
2.28,10
2.284482758620689,11
2.275862068965517,12
2.2465517241379307,13
2.2749999999999995,14
2.2517241379310344,15
2.2566666666666664,16
2.255,17
2.272413793103448,18
2.2516666666666665,19
2.2466666666666666,20
2.1944444444444438,21
2.2759259259259257,22
2.2624999999999997,23
2.2553571428571426,24
2.2607142857142857,25
2.2351851851851845,26
2.2482142857142855,27
2.2428571428571424,28
2.27037037037037,29
2.2423076923076923,30
2.2615384615384615,31
