area,run
148.75000000000006,1
149.95000000000005,2
146.55,3
146.30000000000004,4
144.95000000000005,5
145.40000000000003,6
146.95000000000005,7
148.40000000000003,8
141.20000000000005,9
140.65000000000003,10
139.85000000000002,11
142.15000000000003,12
145.70000000000002,13
146.85,14
144.3,15
141.5,16
150.2000000000001,17
142.55,18
129.4,19
129.55,20
132.35000000000002,21
130.65,22
133.50000000000003,23
131.35000000000002,24
133.25000000000003,25
129.2,26
111.25000000000001,27
130.60000000000002,28
129.35,29
131.65,30
128.1,31
