time,run
67,1
67,2
67,3
67,4
68,5
68,6
67,7
67,8
67,9
67,10
69,11
67,12
66,13
67,14
67,15
68,16
67,17
67,18
67,19
67,20
67,21
67,22
67,23
67,24
67,25
67,26
68,27
67,28
66,29
67,30
67,31
