area,run
146.57500000000005,1
147.90000000000003,2
144.5,3
144.25,4
142.90000000000003,5
143.22500000000002,6
144.90000000000003,7
146.22500000000002,8
139.15000000000003,9
138.6,10
137.75,11
140.10000000000002,12
143.65,13
144.8,14
142.25,15
139.45000000000002,16
148.15000000000003,17
140.42499999999998,18
127.35000000000001,19
127.50000000000001,20
130.17499999999998,21
128.6,22
131.45000000000002,23
129.2,24
131.2,25
127.14999999999999,26
109.19999999999999,27
128.55,28
127.175,29
129.55,30
126.02499999999999,31
