time,run
67,1
67,2
67,3
68,4
67,5
67,6
67,7
68,8
68,9
66,10
67,11
67,12
67,13
66,14
67,15
67,16
68,17
67,18
67,19
66,20
67,21
68,22
67,23
68,24
67,25
66,26
66,27
68,28
67,29
67,30
67,31
