meanPow,run
2.2550000000000003,1
2.26,2
2.269354838709677,3
2.273333333333333,4
2.276666666666667,5
2.2416666666666667,6
2.2416666666666667,7
2.2550000000000003,8
2.24,9
2.2183333333333333,10
2.251724137931035,11
2.2448275862068963,12
2.2586206896551726,13
2.2299999999999995,14
2.2258620689655175,15
2.228333333333333,16
2.24,17
2.2775862068965522,18
2.2299999999999995,19
2.238333333333333,20
2.1129629629629627,21
2.238888888888889,22
2.223214285714286,23
2.2535714285714286,24
2.2482142857142855,25
2.244444444444444,26
2.2535714285714286,27
2.2339285714285717,28
2.238888888888889,29
2.2788461538461537,30
2.2384615384615385,31
