area,run
83.14999999999998,1
89.39999999999998,2
86.75,3
80.79999999999998,4
75.85,5
80.35,6
85.34999999999998,7
80.35,8
76.1,9
76.45,10
77.99999999999999,11
77.74999999999999,12
77.94999999999999,13
75.69999999999999,14
78.39999999999999,15
78.24999999999997,16
77.94999999999999,17
80.44999999999999,18
78.14999999999998,19
76.3,20
80.35,21
78.19999999999999,22
78.39999999999999,23
78.25,24
78.39999999999999,25
77.85,26
75.89999999999999,27
81.94999999999999,28
84.39999999999999,29
75.84999999999998,30
80.25,31
