meanPow,run
2.171641791044777,1
2.163636363636364,2
2.22910447761194,3
2.1574626865671642,4
2.1867647058823536,5
2.205223880597016,6
2.161940298507463,7
2.1919117647058832,8
2.1455223880597023,9
2.262878787878788,10
2.1113636363636368,11
2.148484848484849,12
2.1625000000000005,13
2.198507462686568,14
2.2174242424242427,15
2.1235294117647063,16
2.1931818181818192,17
2.151470588235295,18
2.160606060606061,19
2.1485074626865677,20
2.1401515151515156,21
2.2171641791044783,22
2.1507462686567167,23
2.126119402985075,24
2.137878787878788,25
2.193283582089553,26
2.1939393939393947,27
2.1463235294117653,28
2.181818181818182,29
2.1962121212121217,30
2.1404411764705893,31
