area,run
67.02499999999999,1
64.47499999999998,2
64.85,3
70.87499999999999,4
64.225,5
63.7,6
64.12499999999999,7
63.47499999999999,8
63.47499999999998,9
63.62499999999999,10
63.57499999999999,11
61.574999999999996,12
67.39999999999999,13
63.649999999999984,14
61.224999999999994,15
63.52499999999999,16
60.74999999999999,17
67.32500000000002,18
60.55,19
62.824999999999996,20
60.375,21
60.67499999999999,22
60.84999999999999,23
60.175,24
60.75,25
62.04999999999999,26
60.39999999999999,27
62.50000000000001,28
62.12499999999999,29
60.27499999999999,30
60.02499999999999,31
