area,run
146.75000000000006,1
149.70000000000002,2
146.05000000000004,3
150.75000000000006,4
152.60000000000005,5
147.55000000000004,6
148.75000000000006,7
144.40000000000003,8
150.15000000000003,9
145.70000000000002,10
152.15000000000003,11
146.40000000000003,12
148.05,13
145.20000000000002,14
149.15000000000003,15
146.25000000000006,16
150.40000000000003,17
144.10000000000002,18
149.45000000000002,19
145.70000000000002,20
145.85000000000002,21
149.00000000000006,22
146.10000000000005,23
148.20000000000005,24
144.95000000000005,25
149.50000000000006,26
152.85000000000005,27
144.70000000000005,28
146.10000000000005,29
150.75000000000006,30
145.30000000000004,31
