meanPow,run
2.1455223880597014,1
2.1553030303030303,2
2.1186567164179104,3
2.1410447761194034,4
2.120588235294118,5
2.1067164179104476,6
2.1649253731343285,7
2.1088235294117648,8
2.1813432835820894,9
2.2734848484848484,10
2.1848484848484846,11
2.171212121212121,12
2.134558823529412,13
2.0925373134328358,14
2.0954545454545457,15
2.163970588235294,16
2.115909090909091,17
2.1654411764705883,18
2.1545454545454548,19
2.1223880597014926,20
2.15,21
2.1059701492537313,22
2.146268656716418,23
2.1597014925373137,24
2.153787878787879,25
2.104477611940299,26
2.106060606060606,27
2.1536764705882354,28
2.1227272727272726,29
2.099242424242424,30
2.155882352941176,31
