meanPow,run
2.25378787878788,1
2.238059701492538,2
2.2204545454545457,3
2.2166666666666672,4
2.1962121212121217,5
2.170149253731344,6
2.1610294117647064,7
2.214925373134329,8
2.107462686567165,9
2.1310606060606068,10
2.118939393939394,11
2.1216417910447767,12
2.207575757575758,13
2.1917910447761195,14
2.1863636363636365,15
2.111940298507463,16
2.1457142857142872,17
2.159848484848485,18
2.1566666666666667,19
2.1591666666666667,20
2.1696721311475415,21
2.1418032786885246,22
2.1532258064516134,23
2.1532786885245905,24
2.1491935483870974,25
2.1533333333333333,26
2.139423076923077,27
2.1409836065573775,28
2.1558333333333333,29
2.1581967213114757,30
2.135,31
